code,name,date
sh.600724,宁波富达,2006-04-03
sh.600726,华电能源,2006-04-03
sh.600739,辽宁成大,2006-04-03
sh.600740,山西焦化,2006-04-03
sh.600741,华域汽车,2006-04-03
sh.600744,华银电力,2006-04-03
sh.600747,ST大控,2006-04-03
sh.600770,综艺股份,2006-04-03
sh.600779,水井坊,2006-04-03
sh.600780,通宝能源,2006-04-03
sh.600786,东方锅炉,2006-04-03
sh.600790,轻纺城,2006-04-03
sh.600795,国电电力,2006-04-03
sh.600797,浙大网新,2006-04-03
sh.600805,悦达投资,2006-04-03
sh.600808,马钢股份,2006-04-03
sh.600811,东方集团,2006-04-03
sh.600812,华北制药,2006-04-03
sh.600820,隧道股份,2006-04-03
sh.600832,东方明珠,2006-04-03
sh.600835,上海机电,2006-04-03
sh.600839,四川长虹,2006-04-03
sh.600851,海欣股份,2006-04-03
sh.600854,春兰股份,2006-04-03
sh.600863,内蒙华电,2006-04-03
sh.600866,星湖科技,2006-04-03
sh.600868,梅雁吉祥,2006-04-03
sh.600871,*ST油服,2006-04-03
sh.600874,创业环保,2006-04-03
sh.600879,航天电子,2006-04-03
sh.600881,亚泰集团,2006-04-03
sh.600884,杉杉股份,2006-04-03
sh.600886,国投电力,2006-04-03
sh.600887,伊利股份,2006-04-03
sh.600894,广日股份,2006-04-03
sh.600895,张江高科,2006-04-03
sh.600900,长江电力,2006-04-03
sh.600997,开滦股份,2006-04-03
sh.601607,上海医药,2006-04-03
sz.000001,平安银行,2006-04-03
sz.000002,万科A,2006-04-03
sz.000009,中国宝安,2006-04-03
sz.000012,南玻A,2006-04-03
sz.000016,深康佳A,2006-04-03
sz.000021,深科技,2006-04-03
sz.000022,深赤湾A,2006-04-03
sz.000024,招商地产,2006-04-03
sz.000027,深圳能源,2006-04-03
sz.000031,中粮地产,2006-04-03
sz.000036,华联控股,2006-04-03
sz.000039,中集集团,2006-04-03
sz.000059,华锦股份,2006-04-03
sz.000060,中金岭南,2006-04-03
sz.000061,农产品,2006-04-03
sz.000063,中兴通讯,2006-04-03
sz.000066,中国长城,2006-04-03
sz.000068,华控赛格,2006-04-03
sz.000069,华侨城A,2006-04-03
sz.000088,盐田港,2006-04-03
sz.000089,深圳机场,2006-04-03
sz.000099,中信海直,2006-04-03
sz.000100,TCL集团,2006-04-03
sz.000157,中联重科,2006-04-03
sz.000400,许继电气,2006-04-03
sz.000401,冀东水泥,2006-04-03
sz.000402,金融街,2006-04-03
sz.000406,石油大明,2006-04-03
sz.000410,沈阳机床,2006-04-03
sz.000422,*ST宜化,2006-04-03
sz.000423,东阿阿胶,2006-04-03
sz.000425,徐工机械,2006-04-03
sz.000429,粤高速A,2006-04-03
sz.000488,晨鸣纸业,2006-04-03
sz.000503,国新健康,2006-04-03
sz.000507,珠海港,2006-04-03
sz.000511,烯碳退,2006-04-03
sz.000518,四环生物,2006-04-03
sz.000520,长航凤凰,2006-04-03
sz.000527,美的电器,2006-04-03
sz.000528,柳工,2006-04-03
sz.000533,万家乐,2006-04-03
sz.000538,云南白药,2006-04-03
sz.000539,粤电力A,2006-04-03
sz.000541,佛山照明,2006-04-03
sz.000543,皖能电力,2006-04-03
sz.000550,江铃汽车,2006-04-03
sz.000559,万向钱潮,2006-04-03
sz.000568,泸州老窖,2006-04-03
sz.000571,新大洲A,2006-04-03
sz.000573,粤宏远A,2006-04-03
sz.000581,威孚高科,2006-04-03
sz.000599,青岛双星,2006-04-03
sz.000601,韶能股份,2006-04-03
sz.000607,华媒控股,2006-04-03
sz.000623,吉林敖东,2006-04-03
sz.000625,长安汽车,2006-04-03
sz.000629,攀钢钒钛,2006-04-03
sz.000630,铜陵有色,2006-04-03
sz.000636,风华高科,2006-04-03
sz.000651,格力电器,2006-04-03
sz.000652,泰达股份,2006-04-03
sz.000659,珠海中富,2006-04-03
sz.000666,经纬纺机,2006-04-03
sz.000680,山推股份,2006-04-03
sz.000682,东方电子,2006-04-03
sz.000698,沈阳化工,2006-04-03
sz.000707,*ST双环,2006-04-03
sz.000708,大冶特钢,2006-04-03
sz.000709,河钢股份,2006-04-03
sz.000717,韶钢松山,2006-04-03
sz.000725,京东方A,2006-04-03
sz.000726,鲁泰A,2006-04-03
sz.000727,华东科技,2006-04-03
sz.000729,燕京啤酒,2006-04-03
sz.000733,振华科技,2006-04-03
sz.000735,罗牛山,2006-04-03
sz.000737,*ST南风,2006-04-03
sz.000758,中色股份,2006-04-03
sz.000767,漳泽电力,2006-04-03
sz.000768,中航飞机,2006-04-03
sz.000778,新兴铸管,2006-04-03
sz.000780,平庄能源,2006-04-03
sz.000786,北新建材,2006-04-03
sz.000792,盐湖股份,2006-04-03
sz.000800,一汽轿车,2006-04-03
sz.000806,银河生物,2006-04-03
sz.000807,云铝股份,2006-04-03
sz.000822,山东海化,2006-04-03
sz.000825,太钢不锈,2006-04-03
sz.000828,东莞控股,2006-04-03
sz.000839,中信国安,2006-04-03
sz.000858,五粮液,2006-04-03
sz.000866,扬子石化,2006-04-03
sz.000875,吉电股份,2006-04-03
sz.000878,云南铜业,2006-04-03
sz.000886,海南高速,2006-04-03
sz.000895,双汇发展,2006-04-03
sz.000898,鞍钢股份,2006-04-03
sz.000900,现代投资,2006-04-03
sz.000912,*ST天化,2006-04-03
sz.000916,华北高速,2006-04-03
sz.000917,电广传媒,2006-04-03
sz.000920,南方汇通,2006-04-03
sz.000927,一汽夏利,2006-04-03
sz.000930,中粮生化,2006-04-03
sz.000932,华菱钢铁,2006-04-03
sz.000933,神火股份,2006-04-03
sz.000937,冀中能源,2006-04-03
sz.000939,*ST凯迪,2006-04-03
sz.000949,新乡化纤,2006-04-03
sz.000956,中原油气,2006-04-03
sz.000959,首钢股份,2006-04-03
sz.000960,锡业股份,2006-04-03
sz.000962,东方钽业,2006-04-03
sz.000968,蓝焰控股,2006-04-03
sz.000969,安泰科技,2006-04-03
sz.000970,中科三环,2006-04-03
sz.000975,银泰资源,2006-04-03
sz.000983,西山煤电,2006-04-03
sz.002024,苏宁易购,2006-04-03
sh.600000,浦发银行,2006-04-28
sh.600001,邯郸钢铁,2006-04-28
sh.600004,白云机场,2006-04-28
sh.600005,武钢股份,2006-04-28
sh.600006,东风汽车,2006-04-28
sh.600007,中国国贸,2006-04-28
sh.600008,首创股份,2006-04-28
sh.600009,上海机场,2006-04-28
sh.600010,包钢股份,2006-04-28
sh.600011,华能国际,2006-04-28
sh.600012,皖通高速,2006-04-28
sh.600015,华夏银行,2006-04-28
sh.600016,民生银行,2006-04-28
sh.600018,上港集团,2006-04-28
sh.600019,宝钢股份,2006-04-28
sh.600020,中原高速,2006-04-28
sh.600021,上海电力,2006-04-28
sh.600022,山东钢铁,2006-04-28
sh.600026,中远海能,2006-04-28
sh.600027,华电国际,2006-04-28
sh.600028,中国石化,2006-04-28
sh.600029,南方航空,2006-04-28
sh.600030,中信证券,2006-04-28
sh.600031,三一重工,2006-04-28
sh.600033,福建高速,2006-04-28
sh.600035,楚天高速,2006-04-28
sh.600036,招商银行,2006-04-28
sh.600037,歌华有线,2006-04-28
sh.600050,中国联通,2006-04-28
sh.600057,厦门象屿,2006-04-28
sh.600058,五矿发展,2006-04-28
sh.600060,海信电器,2006-04-28
sh.600062,华润双鹤,2006-04-28
sh.600068,葛洲坝,2006-04-28
sh.600073,上海梅林,2006-04-28
sh.600078,澄星股份,2006-04-28
sh.600085,同仁堂,2006-04-28
sh.600087,退市长油,2006-04-28
sh.600088,中视传媒,2006-04-28
sh.600089,特变电工,2006-04-28
sh.600091,ST明科,2006-04-28
sh.600096,云天化,2006-04-28
sh.600098,广州发展,2006-04-28
sh.600100,同方股份,2006-04-28
sh.600102,莱钢股份,2006-04-28
sh.600103,青山纸业,2006-04-28
sh.600104,上汽集团,2006-04-28
sh.600108,亚盛集团,2006-04-28
sh.600110,诺德股份,2006-04-28
sh.600115,东方航空,2006-04-28
sh.600117,西宁特钢,2006-04-28
sh.600121,郑州煤电,2006-04-28
sh.600123,兰花科创,2006-04-28
sh.600125,铁龙物流,2006-04-28
sh.600126,杭钢股份,2006-04-28
sh.600138,中青旅,2006-04-28
sh.600153,建发股份,2006-04-28
sh.600166,福田汽车,2006-04-28
sh.600170,上海建工,2006-04-28
sh.600171,上海贝岭,2006-04-28
sh.600177,雅戈尔,2006-04-28
sh.600183,生益科技,2006-04-28
sh.600188,兖州煤业,2006-04-28
sh.600190,锦州港,2006-04-28
sh.600196,复星医药,2006-04-28
sh.600198,*ST大唐,2006-04-28
sh.600200,江苏吴中,2006-04-28
sh.600205,S山东铝,2006-04-28
sh.600207,安彩高科,2006-04-28
sh.600210,紫江企业,2006-04-28
sh.600215,长春经开,2006-04-28
sh.600220,江苏阳光,2006-04-28
sh.600221,海航控股,2006-04-28
sh.600231,凌钢股份,2006-04-28
sh.600236,桂冠电力,2006-04-28
sh.600256,广汇能源,2006-04-28
sh.600266,北京城建,2006-04-28
sh.600267,海正药业,2006-04-28
sh.600269,赣粤高速,2006-04-28
sh.600270,外运发展,2006-04-28
sh.600271,航天信息,2006-04-28
sh.600282,南钢股份,2006-04-28
sh.600296,S兰铝,2006-04-28
sh.600307,酒钢宏兴,2006-04-28
sh.600308,华泰股份,2006-04-28
sh.600309,万华化学,2006-04-28
sh.600320,振华重工,2006-04-28
sh.600331,宏达股份,2006-04-28
sh.600333,长春燃气,2006-04-28
sh.600339,中油工程,2006-04-28
sh.600348,阳泉煤业,2006-04-28
sh.600350,山东高速,2006-04-28
sh.600357,承德钒钛,2006-04-28
sh.600362,江西铜业,2006-04-28
sh.600377,宁沪高速,2006-04-28
sh.600380,健康元,2006-04-28
sh.600383,金地集团,2006-04-28
sh.600399,*ST抚钢,2006-04-28
sh.600408,*ST安泰,2006-04-28
sh.600418,江淮汽车,2006-04-28
sh.600428,中远海特,2006-04-28
sh.600500,中化国际,2006-04-28
sh.600508,上海能源,2006-04-28
sh.600519,贵州茅台,2006-04-28
sh.600548,深高速,2006-04-28
sh.600550,保变电气,2006-04-28
sh.600569,安阳钢铁,2006-04-28
sh.600581,八一钢铁,2006-04-28
sh.600583,海油工程,2006-04-28
sh.600585,海螺水泥,2006-04-28
sh.600591,*ST上航,2006-04-28
sh.600597,光明乳业,2006-04-28
sh.600598,北大荒,2006-04-28
sh.600600,青岛啤酒,2006-04-28
sh.600601,方正科技,2006-04-28
sh.600602,云赛智联,2006-04-28
sh.600608,ST沪科,2006-04-28
sh.600621,华鑫股份,2006-04-28
sh.600627,上电股份,2006-04-28
sh.600631,百联股份,2006-04-28
sh.600635,大众公用,2006-04-28
sh.600637,东方明珠,2006-04-28
sh.600639,浦东金桥,2006-04-28
sh.600642,申能股份,2006-04-28
sh.600643,爱建集团,2006-04-28
sh.600649,城投控股,2006-04-28
sh.600652,游久游戏,2006-04-28
sh.600653,申华控股,2006-04-28
sh.600654,ST中安,2006-04-28
sh.600660,福耀玻璃,2006-04-28
sh.600662,强生控股,2006-04-28
sh.600663,陆家嘴,2006-04-28
sh.600674,川投能源,2006-04-28
sh.600675,中华企业,2006-04-28
sh.600688,上海石化,2006-04-28
sh.600690,青岛海尔,2006-04-28
sh.600694,大商股份,2006-04-28
sh.600705,中航资本,2006-04-28
sh.600707,彩虹股份,2006-04-28
sh.600717,天津港,2006-04-28
sh.600718,东软集团,2006-04-28
sh.600724,宁波富达,2006-04-28
sh.600726,华电能源,2006-04-28
sh.600739,辽宁成大,2006-04-28
sh.600740,山西焦化,2006-04-28
sh.600741,华域汽车,2006-04-28
sh.600744,华银电力,2006-04-28
sh.600747,ST大控,2006-04-28
sh.600770,综艺股份,2006-04-28
sh.600779,水井坊,2006-04-28
sh.600780,通宝能源,2006-04-28
sh.600786,东方锅炉,2006-04-28
sh.600790,轻纺城,2006-04-28
sh.600795,国电电力,2006-04-28
sh.600797,浙大网新,2006-04-28
sh.600805,悦达投资,2006-04-28
sh.600808,马钢股份,2006-04-28
sh.600811,东方集团,2006-04-28
sh.600812,华北制药,2006-04-28
sh.600820,隧道股份,2006-04-28
sh.600832,东方明珠,2006-04-28
sh.600835,上海机电,2006-04-28
sh.600839,四川长虹,2006-04-28
sh.600851,海欣股份,2006-04-28
sh.600854,春兰股份,2006-04-28
sh.600863,内蒙华电,2006-04-28
sh.600866,星湖科技,2006-04-28
sh.600868,梅雁吉祥,2006-04-28
sh.600871,*ST油服,2006-04-28
sh.600874,创业环保,2006-04-28
sh.600879,航天电子,2006-04-28
sh.600881,亚泰集团,2006-04-28
sh.600884,杉杉股份,2006-04-28
sh.600886,国投电力,2006-04-28
sh.600887,伊利股份,2006-04-28
sh.600894,广日股份,2006-04-28
sh.600895,张江高科,2006-04-28
sh.600900,长江电力,2006-04-28
sh.600997,开滦股份,2006-04-28
sh.601607,上海医药,2006-04-28
sz.000001,平安银行,2006-04-28
sz.000002,万科A,2006-04-28
sz.000009,中国宝安,2006-04-28
sz.000012,南玻A,2006-04-28
sz.000016,深康佳A,2006-04-28
sz.000021,深科技,2006-04-28
sz.000022,深赤湾A,2006-04-28
sz.000024,招商地产,2006-04-28
sz.000027,深圳能源,2006-04-28
sz.000031,中粮地产,2006-04-28
sz.000036,华联控股,2006-04-28
sz.000039,中集集团,2006-04-28
sz.000059,华锦股份,2006-04-28
sz.000060,中金岭南,2006-04-28
sz.000061,农产品,2006-04-28
sz.000063,中兴通讯,2006-04-28
sz.000066,中国长城,2006-04-28
sz.000068,华控赛格,2006-04-28
sz.000069,华侨城A,2006-04-28
sz.000088,盐田港,2006-04-28
sz.000089,深圳机场,2006-04-28
sz.000099,中信海直,2006-04-28
sz.000100,TCL集团,2006-04-28
sz.000157,中联重科,2006-04-28
sz.000400,许继电气,2006-04-28
sz.000401,冀东水泥,2006-04-28
sz.000402,金融街,2006-04-28
sz.000410,沈阳机床,2006-04-28
sz.000422,*ST宜化,2006-04-28
sz.000423,东阿阿胶,2006-04-28
sz.000425,徐工机械,2006-04-28
sz.000429,粤高速A,2006-04-28
sz.000488,晨鸣纸业,2006-04-28
sz.000503,国新健康,2006-04-28
sz.000507,珠海港,2006-04-28
sz.000511,烯碳退,2006-04-28
sz.000518,四环生物,2006-04-28
sz.000520,长航凤凰,2006-04-28
sz.000527,美的电器,2006-04-28
sz.000528,柳工,2006-04-28
sz.000533,万家乐,2006-04-28
sz.000538,云南白药,2006-04-28
sz.000539,粤电力A,2006-04-28
sz.000541,佛山照明,2006-04-28
sz.000543,皖能电力,2006-04-28
sz.000550,江铃汽车,2006-04-28
sz.000559,万向钱潮,2006-04-28
sz.000568,泸州老窖,2006-04-28
sz.000571,新大洲A,2006-04-28
sz.000573,粤宏远A,2006-04-28
sz.000581,威孚高科,2006-04-28
sz.000599,青岛双星,2006-04-28
sz.000601,韶能股份,2006-04-28
sz.000607,华媒控股,2006-04-28
sz.000623,吉林敖东,2006-04-28
sz.000625,长安汽车,2006-04-28
sz.000629,攀钢钒钛,2006-04-28
sz.000630,铜陵有色,2006-04-28
sz.000636,风华高科,2006-04-28
sz.000651,格力电器,2006-04-28
sz.000652,泰达股份,2006-04-28
sz.000659,珠海中富,2006-04-28
sz.000666,经纬纺机,2006-04-28
sz.000680,山推股份,2006-04-28
sz.000682,东方电子,2006-04-28
sz.000698,沈阳化工,2006-04-28
sz.000707,*ST双环,2006-04-28
sz.000708,大冶特钢,2006-04-28
sz.000709,河钢股份,2006-04-28
sz.000717,韶钢松山,2006-04-28
sz.000725,京东方A,2006-04-28
sz.000726,鲁泰A,2006-04-28
sz.000727,华东科技,2006-04-28
sz.000729,燕京啤酒,2006-04-28
sz.000733,振华科技,2006-04-28
sz.000735,罗牛山,2006-04-28
sz.000737,*ST南风,2006-04-28
sz.000758,中色股份,2006-04-28
sz.000767,漳泽电力,2006-04-28
sz.000768,中航飞机,2006-04-28
sz.000778,新兴铸管,2006-04-28
sz.000780,平庄能源,2006-04-28
sz.000786,北新建材,2006-04-28
sz.000792,盐湖股份,2006-04-28
sz.000793,华闻传媒,2006-04-28
sz.000800,一汽轿车,2006-04-28
sz.000806,银河生物,2006-04-28
sz.000807,云铝股份,2006-04-28
sz.000822,山东海化,2006-04-28
sz.000825,太钢不锈,2006-04-28
sz.000828,东莞控股,2006-04-28
sz.000839,中信国安,2006-04-28
sz.000858,五粮液,2006-04-28
sz.000869,张裕A,2006-04-28
sz.000875,吉电股份,2006-04-28
sz.000878,云南铜业,2006-04-28
sz.000886,海南高速,2006-04-28
sz.000895,双汇发展,2006-04-28
sz.000898,鞍钢股份,2006-04-28
sz.000900,现代投资,2006-04-28
sz.000912,*ST天化,2006-04-28
sz.000916,华北高速,2006-04-28
sz.000917,电广传媒,2006-04-28
sz.000920,南方汇通,2006-04-28
sz.000927,一汽夏利,2006-04-28
sz.000930,中粮生化,2006-04-28
sz.000932,华菱钢铁,2006-04-28
sz.000933,神火股份,2006-04-28
sz.000937,冀中能源,2006-04-28
sz.000939,*ST凯迪,2006-04-28
sz.000949,新乡化纤,2006-04-28
sz.000959,首钢股份,2006-04-28
sz.000960,锡业股份,2006-04-28
sz.000962,东方钽业,2006-04-28
sz.000968,蓝焰控股,2006-04-28
sz.000969,安泰科技,2006-04-28
sz.000970,中科三环,2006-04-28
sz.000975,银泰资源,2006-04-28
sz.000983,西山煤电,2006-04-28
sz.002024,苏宁易购,2006-04-28
sh.600000,浦发银行,2006-10-01
sh.600001,邯郸钢铁,2006-10-01
sh.600004,白云机场,2006-10-01
sh.600005,武钢股份,2006-10-01
sh.600006,东风汽车,2006-10-01
sh.600008,首创股份,2006-10-01
sh.600009,上海机场,2006-10-01
sh.600010,包钢股份,2006-10-01
sh.600011,华能国际,2006-10-01
sh.600012,皖通高速,2006-10-01
sh.600015,华夏银行,2006-10-01
sh.600016,民生银行,2006-10-01
sh.600018,上港集团,2006-10-01
sh.600019,宝钢股份,2006-10-01
sh.600020,中原高速,2006-10-01
sh.600021,上海电力,2006-10-01
sh.600022,山东钢铁,2006-10-01
sh.600026,中远海能,2006-10-01
sh.600027,华电国际,2006-10-01
sh.600028,中国石化,2006-10-01
sh.600029,南方航空,2006-10-01
sh.600030,中信证券,2006-10-01
sh.600031,三一重工,2006-10-01
sh.600033,福建高速,2006-10-01
sh.600035,楚天高速,2006-10-01
sh.600036,招商银行,2006-10-01
sh.600037,歌华有线,2006-10-01
sh.600050,中国联通,2006-10-01
sh.600057,厦门象屿,2006-10-01
sh.600058,五矿发展,2006-10-01
sh.600060,海信电器,2006-10-01
sh.600062,华润双鹤,2006-10-01
sh.600073,上海梅林,2006-10-01
sh.600078,澄星股份,2006-10-01
sh.600085,同仁堂,2006-10-01
sh.600087,退市长油,2006-10-01
sh.600088,中视传媒,2006-10-01
sh.600089,特变电工,2006-10-01
sh.600091,ST明科,2006-10-01
sh.600096,云天化,2006-10-01
sh.600098,广州发展,2006-10-01
sh.600100,同方股份,2006-10-01
sh.600102,莱钢股份,2006-10-01
sh.600104,上汽集团,2006-10-01
sh.600108,亚盛集团,2006-10-01
sh.600110,诺德股份,2006-10-01
sh.600115,东方航空,2006-10-01
sh.600117,西宁特钢,2006-10-01
sh.600121,郑州煤电,2006-10-01
sh.600123,兰花科创,2006-10-01
sh.600125,铁龙物流,2006-10-01
sh.600126,杭钢股份,2006-10-01
sh.600132,重庆啤酒,2006-10-01
sh.600138,中青旅,2006-10-01
sh.600143,金发科技,2006-10-01
sh.600151,航天机电,2006-10-01
sh.600153,建发股份,2006-10-01
sh.600166,福田汽车,2006-10-01
sh.600170,上海建工,2006-10-01
sh.600171,上海贝岭,2006-10-01
sh.600177,雅戈尔,2006-10-01
sh.600183,生益科技,2006-10-01
sh.600188,兖州煤业,2006-10-01
sh.600196,复星医药,2006-10-01
sh.600198,*ST大唐,2006-10-01
sh.600205,S山东铝,2006-10-01
sh.600207,安彩高科,2006-10-01
sh.600210,紫江企业,2006-10-01
sh.600215,长春经开,2006-10-01
sh.600220,江苏阳光,2006-10-01
sh.600221,海航控股,2006-10-01
sh.600231,凌钢股份,2006-10-01
sh.600236,桂冠电力,2006-10-01
sh.600256,广汇能源,2006-10-01
sh.600266,北京城建,2006-10-01
sh.600267,海正药业,2006-10-01
sh.600269,赣粤高速,2006-10-01
sh.600270,外运发展,2006-10-01
sh.600271,航天信息,2006-10-01
sh.600276,恒瑞医药,2006-10-01
sh.600282,南钢股份,2006-10-01
sh.600296,S兰铝,2006-10-01
sh.600299,安迪苏,2006-10-01
sh.600307,酒钢宏兴,2006-10-01
sh.600308,华泰股份,2006-10-01
sh.600309,万华化学,2006-10-01
sh.600320,振华重工,2006-10-01
sh.600331,宏达股份,2006-10-01
sh.600333,长春燃气,2006-10-01
sh.600339,中油工程,2006-10-01
sh.600348,阳泉煤业,2006-10-01
sh.600350,山东高速,2006-10-01
sh.600357,承德钒钛,2006-10-01
sh.600361,华联综超,2006-10-01
sh.600362,江西铜业,2006-10-01
sh.600377,宁沪高速,2006-10-01
sh.600383,金地集团,2006-10-01
sh.600399,*ST抚钢,2006-10-01
sh.600406,国电南瑞,2006-10-01
sh.600408,*ST安泰,2006-10-01
sh.600410,华胜天成,2006-10-01
sh.600415,小商品城,2006-10-01
sh.600418,江淮汽车,2006-10-01
sh.600428,中远海特,2006-10-01
sh.600456,宝钛股份,2006-10-01
sh.600460,士兰微,2006-10-01
sh.600498,烽火通信,2006-10-01
sh.600500,中化国际,2006-10-01
sh.600508,上海能源,2006-10-01
sh.600519,贵州茅台,2006-10-01
sh.600521,华海药业,2006-10-01
sh.600535,天士力,2006-10-01
sh.600548,深高速,2006-10-01
sh.600549,厦门钨业,2006-10-01
sh.600550,保变电气,2006-10-01
sh.600569,安阳钢铁,2006-10-01
sh.600578,京能电力,2006-10-01
sh.600581,八一钢铁,2006-10-01
sh.600583,海油工程,2006-10-01
sh.600585,海螺水泥,2006-10-01
sh.600588,用友网络,2006-10-01
sh.600591,*ST上航,2006-10-01
sh.600597,光明乳业,2006-10-01
sh.600598,北大荒,2006-10-01
sh.600600,青岛啤酒,2006-10-01
sh.600601,方正科技,2006-10-01
sh.600602,云赛智联,2006-10-01
sh.600616,金枫酒业,2006-10-01
sh.600621,华鑫股份,2006-10-01
sh.600627,上电股份,2006-10-01
sh.600628,新世界,2006-10-01
sh.600631,百联股份,2006-10-01
sh.600635,大众公用,2006-10-01
sh.600637,东方明珠,2006-10-01
sh.600639,浦东金桥,2006-10-01
sh.600642,申能股份,2006-10-01
sh.600643,爱建集团,2006-10-01
sh.600649,城投控股,2006-10-01
sh.600652,游久游戏,2006-10-01
sh.600653,申华控股,2006-10-01
sh.600654,ST中安,2006-10-01
sh.600655,豫园股份,2006-10-01
sh.600660,福耀玻璃,2006-10-01
sh.600662,强生控股,2006-10-01
